word,normalized_word,rank,priority_score,original_rank,ngsl_rank,supplement_category,oxford_list,oxford_level,nawl_rank,tsl_rank,bsl_rank,sources,notes
the,the,1,43.400000,1,1,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
be,be,2,41.216170,2,2,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
and,and,3,39.938711,3,3,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
of,of,4,39.032340,4,4,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
to,to,5,38.329303,5,5,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
a,a,6,37.754881,6,6,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
in,in,7,37.269214,7,7,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
have,have,8,36.848509,8,8,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
it,it,9,36.477422,9,9,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
you,you,10,36.145473,10,10,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
he,he,11,35.845189,11,11,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
for,for,12,35.571051,12,12,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
they,they,13,35.318868,13,13,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
not,not,14,35.085383,14,14,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
that,that,15,34.868014,15,15,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
we,we,16,34.664679,16,16,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
on,on,17,34.473675,17,17,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
with,with,18,34.293592,18,18,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
this,this,19,34.123248,19,19,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
i,i,20,33.961643,20,20,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
do,do,21,33.807925,21,21,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
as,as,22,33.661358,22,22,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
