Meanings,English Definition,POS,J Translation
afterward,happening after something else happened,adv,その後
amongst,in or through a group,prep,～の間に；～の中の
artistic,"Being able to paint, write music, etc.; creative",adj,芸術的な
backward,toward what is behind you,adv,後ろへ
bodily,"physically, as when lifting someone",adv,身体の
carrier,"a company, usually an airline, that carries things",n,運送業；航空会社；電話会社
collective,formed by working together as a group,adj,収集された； 集団の
computation,the act of calculating; method of computing,n,計算
continuity,continued existence; fact of not stopping,n,継続性
definite,Not likely to change; clearly decided,adj,明確な；限定的な
freely,"(living, existing) without being controlled",adv,自由に
generalization,making a statement about a group from limited data,n,一般化；一般概念
generalize,To apply a particular idea to a large group,verb,一般化する
goodness,nourishment; good food value,n,よいこと
historically,throughout history,adv,歴史的に
importantly,in an important way; ,adv,重要なことには
interestingly,you'll find this surprising; in an interesting way,adv,興味深いことに
locally,Concerning the area around where you are,adj,局所的に；地元で
machinery,machines in general,n,機械
marker,something that is easy to recognize or identify,n,標識；マーカー 
meaningful,Having importance; showing someone's intention,adj,意味のある
namely,"that is to say, specifically",adv,すなわち；つまり
nationalism,"The spirit of love of your country, e.g. leading to war",n,国家主義
neat,Not messy; clean and orderly; simple and effective,adj,きちんとした
nicely,in a pleasing way; in a polite way,adv,うまく；よく
noisy,full of noise; loud,adj,やかましい；派手な 
outer,on or around something,adj,外側の；中心から遠くにある
painful,causing or feeling physical pain or hurt,adj,痛い
pardon,to excuse,verb,何とおっしゃいましたか？
parental,"concerning, or provided by, a parent",adj,親の
partial,not complete; being only part of something,adj,部分的な；不公平な
partially,in part; in some degree; not wholly,adv,部分的に；不公平に
photographic,concerning the art of making images with cameras,adj,写真の
planner,notebook for recording appointments or things to do,n,手帳；ノート
problematic,being difficult to deal with or fix,adj,問題のある
readily,in a quick and easy manner,adv,容易に
realism,"accepting things as they are, not as you want",n,現実主義
realistic,looks or appears real; like things really are,adj,現実的な
rewrite,"to write again to improve, or correct errors",verb,書き直す
ruler,someone who has control over a country or area,n,支配者；統治者
sexuality,characterized and distinguished by sex,n,性的特質
simplify,"to make something easier to do, use or understand",verb,簡素化する
sometime,at an unknown time in the future,adj,いつか
specialty,the specific area of your field,n,専門；特殊；名物
subset,a small set which is part of a larger set,n,少派
supposedly,as some people believe (shows you doubt it),adv,たぶん
systematic,"done in a thorough, logical or planned way",adj,体系的な；組織的な
terribly,to an extreme degree; badly; very,adv,ひどく
thickness,the distance between the opposite edges of a thing,n,厚さ
underneath,below or beneath something; under,adv,下に
unemployed,being without a job; jobless,adj,失業した，失業者
whichever,whatever one,det,どちらの～でも
whoever,whatever person; any person at all,pron,誰が～しようとも；一体誰が～；～する人は誰でも
accent,a way of speaking that shows your dialect or class,n,訛り
actively,doing things to achieve a specific goal,adv,積極的に
adaptation,changing to a new form; thing that is changed,n,適応
adaptive,able to adjust to new conditions,adj,適応性のある
apple,hard round red or green fruit with a white center,n,りんご
authority,"people in positions of power, able to decide things",n,権力者； 権限者
availability,being present and able to be used,n,可用性；利用可能
bang,to strike something loudly or forcefully,verb,たたく；ぶつける
bat,object used for hitting a ball in various games,n,バット
blank,being empty; not filled out; with no writing on it,adj,空白
bleed,to lose blood because of an injury,verb,出血する
bound,to go to a specified place; to jump,verb,縛られた
broadly,in a general (not detailed) manner,adv,広く
bucket,open container with a handle used to carry liquids,n,バケツ
calculation,process or result of using mathematics,n,計算
calculator,a small electronic device used for calculation,n,計算機
characterization,the way someone or something is described,n,特徴付けること
cheat,To act in dishonest manner to gain an advantage,verb,だます
cheers,a toast used when raising your glass to drink,n,乾杯
clever,Showing intelligence; quick to understand or learn,adj,利口な
clip,a metal holder used for keeping things together,n,クリップ；切り抜き，切り抜く
clue,a piece of information that helps explain a situation or provide a solution to a problem,n,手がかり
commentary,explanation or discussion of a written work/event,n,論評；注釈；記録
commonly,"typically, normally; not unusually",adv,一般に
comparable,being similar in some way,adj,比較できる；同等な
complication,action making something harder to do something,n,合併症
conditional,depending (on),adj,条件付きの
connector,a device that joins things together,n,コネクタ
conscious,aware of what is going on around you; not knocked out,adj,意識している
consciousness,being awake,n,意識
container,an object that can be used to hold things,n,容器
correction,a change to make something right,n,訂正
correctly,in an accurate or correct manner,adv,正しく
cure,a medicine or treatment that makes an ill person become healthy,n,治療，治療する
detection,the act of discovering something or solving a crime,n,発見；検出
developmental,concerning the development or growth,adj,発達上の
directive,formal an order from an authority,n,指令；指示の
disturbance,a noise or something that stops you from continuing what you were doing,n,騒乱；妨害
economically,in an efficient manner; without using too much effort,adv,経済的に
economist,a person who studies economics,n,経済学者
enormously,"extremely, by a large amount",adv,非常に
equality,the idea that all people have the same rights,n,平等
flip,to rotate or turn something over,n,反転する；はじく
ghost,"spirit of a dead person, appearing to the living",n,幽霊
hedge,a fence made with small trees; avoid or try to avoid fulfilling,n,生け垣；防衛
identification,(card or paper) that proves who a person is,n,確認；識別；身分証明書
incredible,very hard to believe,adj,信じられない
incredibly,"extremely, hard to believe",adv,信じられないほど
indicator,"an instrument that shows conditions in a machine, such as temperature, speed, pressure; in chemistry: a compound that changes color in the presence of an acid or a base",n,測定器；指針
individually,in a way involving only that person,adv,個別に
industrialization,process of creating and developing many businesses,n,工業化
industrialize,To make into something at an industrial level,verb,工業化する
inequality,situation where things are not equal/fair,n,不平等
influential,having the power to cause change; having influence,adj,影響力のある
instability,not stable; changeable,n,不安定
intensity,"great energy, strength, or concentration",n,激しさ；強度
intensive,needing great effort for a short period of time,adj,激しい；集中的な
interrupt,to cause something to stop happening for a time,verb,中断する；割り込む
interviewer,a person who asks questions to obtain information,n,面接する人
junior,someone lower in rank,adj,年下の；後輩の，年少者
kilometer,a metric unit of length equal to 1000 meters,n,キロメートル
lab,laboratory; a place to do scientific experiments,n,研究所
likelihood,the chance that something might happen,n,可能性
lump,"a small hard part of something smooth, soft, or continuous",n,かたまり；しこり
mathematical,concerning numbers and equations,adj,数学の
memorize,to study something so that you remember it,verb,覚える
minus,(prep) being less than zero in number,prep,マイナス；負数
monkey,"an animal related to humans, which lives in trees",n,サル
nasty,"very bad, unpleasant, or offensive",adj,不快な；意地の悪い
nest,the home of a bird or spider,n,巣
observer,someone whose job it is to watch or notice things,n,観察者；監視者
occurrence,specific instance of something happening,n,発生；出来事
periodic,"happening regularly, but not frequently",adj,定期的な
physically,in a manner related to the body,adv,肉体的に；身体上
plug,an electrical connector; to fill or close tightly so liquid or air cannot pass,verb,プラグ；栓
politically,in connection with government matters,adv,政治的に
